Team:選手名,OPS,IsoP,BABIP,BB/K,PA/K,AB/HR,SecA,TA,PS,RC27,年俸(推定)
ソフトバンクホークス:鶴岡　慎也,0.6346518387463667,0.08796891191709844,0.27906976744186046,0.42857142857142855,10.666666666666666,193.0,0.15025906735751296,0.5131578947368421,1.0,2.8530766196013335,7600
日本ハムファイターズ:田中　賢介,0.736318407960199,0.052258706467661675,0.3179347826086957,1.5277777777777777,13.11111111111111,201.0,0.23880597014925373,0.7363013698630136,3.6,5.6786847542656265,15000
日本ハムファイターズ:中田　翔,0.7319296768080851,0.17188619854721549,0.2823920265780731,0.4,4.6,24.294117647058822,0.27602905569007263,0.6666666666666666,3.5789473684210527,4.333879014140346,24500
日本ハムファイターズ:中島　卓也,0.6184181537783653,0.0252808988764045,0.3308550185873606,0.5681818181818182,5.204545454545454,414.0,0.2050561797752809,0.5848375451263538,0.0,3.441004233677711,8000
日本ハムファイターズ:レアード,0.8484536309648418,0.2533415233415234,0.28975265017667845,0.32,4.46,14.535714285714286,0.33906633906633904,0.8051948051948052,0.0,5.749934632631931,10000
日本ハムファイターズ:西川　遥輝,0.7832923832923833,0.10100000000000003,0.37969924812030076,0.5465116279069767,4.906976744186046,71.0,0.30140845070422534,0.8385826771653543,8.387096774193548,6.246697312044209,6200
日本ハムファイターズ:陽　岱鋼,0.7949896767078316,0.1364812834224599,0.36900369003690037,0.35106382978723405,4.4787234042553195,37.4,0.24331550802139038,0.7256317689530686,4.615384615384615,5.449446555819477,16000
日本ハムファイターズ:大谷　翔平,1.1044390392216479,0.31284615384615383,0.4122137404580153,0.6774193548387096,4.080645161290323,12.235294117647058,0.5432692307692307,1.295774647887324,8.869565217391305,10.928068511198939,20000
日本ハムファイターズ:大野　奨太,0.6969690451093854,0.1284581280788177,0.2875816993464052,0.3333333333333333,5.6,40.6,0.26108374384236455,0.6455696202531646,1.6666666666666667,3.915679558011046,4500
千葉ロッテマリーンズ:デスパイネ,0.8447853020148417,0.18983251231527093,0.308411214953271,0.6986301369863014,6.383561643835616,22.555555555555557,0.31773399014778325,0.8013029315960912,0.0,5.845706275967031,25000
千葉ロッテマリーンズ:角中　勝也,0.8651065956029313,0.11663291139240511,0.3691860465116279,1.06,9.14,79.0,0.28607594936708863,0.9107806691449815,7.0588235294117645,7.690601271382707,8000
千葉ロッテマリーンズ:鈴木　大地,0.78237202776177,0.1235495978552279,0.31402439024390244,0.8695652173913043,9.608695652173912,62.166666666666664,0.257372654155496,0.7536764705882353,4.0,5.524425200376814,8000
千葉ロッテマリーンズ:田村　龍弘,0.670429261930336,0.06923684210526315,0.341991341991342,0.4666666666666667,4.76,304.0,0.20394736842105263,0.6173913043478261,1.6666666666666667,4.063255741162861,2760
千葉ロッテマリーンズ:清田　育宏,0.6331956633970057,0.11050335570469796,0.24786324786324787,0.5862068965517241,5.862068965517241,49.666666666666664,0.26174496644295303,0.5795918367346938,5.454545454545454,3.2413889021195543,6000
千葉ロッテマリーンズ:細谷　圭,0.6949563031930085,0.11875958188153307,0.3474178403755869,0.20833333333333334,4.375,95.66666666666667,0.20209059233449478,0.6192660550458715,4.5,4.03789561239343,930
千葉ロッテマリーンズ:ナバーロ,0.7234837719547547,0.15359336099585064,0.2430939226519337,0.8518518518518519,5.407407407407407,24.1,0.3360995850622407,0.6994818652849741,0.0,4.642728739308805,14000
千葉ロッテマリーンズ:中村　奨吾,0.5544066776958941,0.08681651376146787,0.2360248447204969,0.3888888888888889,4.722222222222222,54.5,0.21100917431192662,0.4943820224719101,4.0,2.5908421052631567,2500
千葉ロッテマリーンズ:岡田　幸文,0.6202380952380953,0.03557142857142853,0.30456852791878175,0.5185185185185185,9.0,414.0,0.13392857142857142,0.5294117647058824,0.0,3.5773093555983637,3800
